8,30,169.00
8,31,174.00
8,32,179.00
8,33,178.00
8,34,175.00
8,35,189.00
8,36,174.00
8,37,176.00
8,38,196.00
8,39,162.00
9,0,155.21
9,1,138.70
9,2,156.04
9,3,146.13
9,4,159.34
9,5,157.69
9,6,151.08
9,7,135.40
9,8,148.61
9,9,166.77
9,10,151.91
9,11,166.77
9,12,173.38
9,13,165.12
9,14,163.47
9,15,157.69
9,16,169.25
9,17,156.86
9,18,158.51
9,19,158.51
9,20,164.00
9,21,159.00
9,22,155.00
9,23,151.00
9,24,164.00
9,25,165.00
9,26,177.00
9,27,183.00
9,28,178.00
9,29,185.00
9,30,170.00
9,31,174.00
9,32,180.00
9,33,189.00
9,34,180.77
9,35,187.00
9,36,185.00
9,37,183.00
9,38,173.00
9,39,188.00
10,0,137.05
10,1,135.40
10,2,141.18
10,3,133.75
10,4,145.30
10,5,127.97
10,6,138.70
10,7,138.70
10,8,140.35
10,9,138.70
10,10,149.43
10,11,141.18
10,12,165.95
10,13,162.64
10,14,162.64
10,15,155.21
10,16,160.99
10,17,146.96
10,18,143.65
10,19,136.22
10,20,165.00
10,21,146.00
10,22,156.00
10,23,159.00
10,24,160.00
10,25,162.00
10,26,170.00
10,27,164.00
10,28,182.00
10,29,177.00
10,30,163.00
10,31,193.00
10,32,184.00
10,33,182.00
10,34,189.00
10,35,183.00
10,36,184.00
10,37,184.00
10,38,182.00
10,39,176.00
11,0,136.22
11,1,165.12
11,2,146.96
11,3,146.96
11,4,146.13
11,5,150.26
11,6,149.43
11,7,152.74
11,8,132.09
11,9,154.39
11,10,157.69
11,11,160.17
11,12,176.68
11,13,155.21
11,14,154.39
11,15,151.08
11,16,153.10
11,17,149.25
11,18,138.70
11,19,139.53
11,20,159.00
11,21,152.00
11,22,143.00
11,23,156.00
11,24,145.00
11,25,151.00
11,26,156.00
11,27,161.00
11,28,163.00
11,29,150.00
11,30,172.00
11,31,187.00
11,32,175.00
11,33,165.00
11,34,163.00
11,35,192.00
11,36,170.00
11,37,185.00
11,38,176.00
11,39,182.00
12,0,145.30
12,1,156.04
12,2,170.07
12,3,142.83
12,4,138.70
12,5,163.47
12,6,140.35
12,7,151.08
12,8,128.79
12,9,133.75
12,10,151.08
12,11,159.34
12,12,146.13
12,13,141.18
12,14,136.22
12,15,155.21
12,16,150.26
12,17,157.69
12,18,144.48
12,19,148.61
12,20,150.00
12,21,141.00
12,22,147.00
12,23,141.00
12,24,151.00
12,25,158.00
12,26,166.00
12,27,166.00
12,28,168.00
12,29,155.00
12,30,158.00
12,31,172.00
12,32,165.00
12,33,162.00
12,34,177.00
12,35,152.00
12,36,193.00
12,37,159.00
12,38,178.00
12,39,187.00
13,0,136.22
13,1,141.18
13,2,160.17
13,3,149.43
13,4,146.13
13,5,145.30
13,6,153.56
13,7,153.56
13,8,149.43
13,9,149.43
13,10,149.43
13,11,138.70
13,12,127.14
13,13,151.08
13,14,145.30
13,15,145.30
13,16,167.60
13,17,150.26
13,18,146.13
13,19,150.26
13,20,155.00
13,21,147.00
13,22,136.00
13,23,141.00
13,24,143.00
13,25,143.00
13,26,159.00
13,27,167.00
13,28,161.00
13,29,174.00
13,30,167.00
13,31,182.00
13,32,170.00
13,33,165.00
13,34,187.00
13,35,167.00
13,36,189.00
13,37,200.00
13,38,199.00
13,39,178.00
14,0,140.35
14,1,151.91
14,2,146.96
14,3,162.64
14,4,164.29
14,5,153.56
14,6,147.78
14,7,149.43
14,8,149.43
14,9,150.26
14,10,141.18
14,11,124.66
14,12,136.22
14,13,133.75
14,14,151.91
14,15,152.74
14,16,148.05
14,17,147.78
14,18,151.08
14,19,140.35
14,20,153.00
14,21,159.00
14,22,140.00
14,23,142.00
14,24,143.00
14,25,150.00
14,26,156.00
14,27,169.00
14,28,165.00
14,29,161.00
14,30,170.00
14,31,153.00
14,32,172.00
14,33,159.00
14,34,162.00
14,35,181.00
14,36,181.00
14,37,190.00
14,38,180.00
14,39,178.00
15,0,156.86
15,1,135.40
15,2,138.70
15,3,148.61
15,4,157.69
15,5,139.53
15,6,156.86
15,7,156.04
15,8,146.96
15,9,154.39
15,10,137.05
15,11,142.00
15,12,148.61
15,13,139.53
15,14,135.40
15,15,145.30
15,16,150.26
15,17,143.65
15,18,142.00
15,19,151.08
15,20,144.00
15,21,154.00
15,22,140.00
15,23,140.00
15,24,137.00
15,25,142.00
15,26,143.00
15,27,160.00
15,28,151.00
15,29,151.00
15,30,158.00
15,31,153.00
15,32,162.00
15,33,170.00
15,34,176.00
15,35,173.00
15,36,189.00
15,37,201.00
15,38,190.00
15,39,196.00
16,0,155.21
16,1,144.48
16,2,141.18
16,3,139.53
16,4,150.26
16,5,147.78
16,6,164.29
16,7,133.75
16,8,127.97
16,9,166.77
16,10,155.21
16,11,141.18
16,12,139.53
16,13,155.21
16,14,146.96
16,15,146.13
16,16,137.05
16,17,143.65
16,18,133.75
16,19,145.30
16,20,146.00
16,21,137.00
16,22,138.00
16,23,137.00
16,24,135.00
16,25,128.00
16,26,137.00
16,27,139.00
16,28,135.00
16,29,133.00
16,30,148.00
16,31,152.00
16,32,158.00
16,33,161.00
16,34,174.00
16,35,185.00
16,36,153.00
16,37,178.00
16,38,176.00
16,39,183.00
17,0,155.21
17,1,150.26
17,2,156.04
17,3,146.96
17,4,154.39
17,5,130.44
17,6,146.13
17,7,134.57
17,8,143.65
17,9,143.65
17,10,151.91
17,11,153.56
17,12,143.65
17,13,151.91
17,14,137.87
17,15,145.30
17,16,141.18
17,17,148.61
17,18,141.18
17,19,148.61
17,20,136.00
17,21,143.00
17,22,151.00
17,23,141.00
17,24,147.00
17,25,141.00
17,26,136.00
17,27,134.00
17,28,145.00
17,29,152.00
17,30,144.00
17,31,138.00
17,32,134.00
17,33,150.00
17,34,174.00
17,35,170.00
17,36,165.00
17,37,162.00
17,38,182.00
17,39,173.00
18,0,153.56
18,1,164.29
18,2,152.74
18,3,142.00
18,4,120.54
18,5,134.57
18,6,138.70
18,7,151.08
18,8,129.62
18,9,151.91
18,10,142.00
