0,0,171.00
0,1,188.00
0,2,208.00
0,3,183.00
0,4,190.00
0,5,162.00
0,6,162.00
0,7,154.00
0,8,140.00
0,9,97.00
0,10,85.00
0,11,96.00
0,12,134.00
0,13,136.00
0,14,125.00
0,15,102.00
0,16,127.00
0,17,99.00
0,18,146.00
0,19,146.00
0,20,nan
0,21,nan
0,22,nan
0,23,nan
0,24,nan
0,25,nan
0,26,nan
0,27,nan
0,28,nan
0,29,nan
0,30,nan
0,31,nan
0,32,nan
0,33,nan
0,34,nan
0,35,nan
0,36,nan
0,37,nan
0,38,nan
0,39,nan
1,0,182.00
1,1,174.00
1,2,186.00
1,3,149.00
1,4,158.00
1,5,146.00
1,6,148.00
1,7,139.00
1,8,118.00
1,9,110.00
1,10,88.00
1,11,93.00
1,12,129.00
1,13,131.00
1,14,105.00
1,15,91.00
1,16,100.00
1,17,83.00
1,18,110.00
1,19,131.00
1,20,nan
1,21,nan
1,22,nan
1,23,nan
1,24,nan
1,25,nan
1,26,nan
1,27,nan
1,28,nan
1,29,nan
1,30,nan
1,31,nan
1,32,nan
1,33,nan
1,34,nan
1,35,nan
1,36,nan
1,37,nan
1,38,nan
1,39,nan
2,0,161.00
2,1,194.00
2,2,183.00
2,3,154.00
2,4,143.00
2,5,170.00
2,6,147.00
2,7,118.00
2,8,121.00
2,9,109.00
2,10,123.00
2,11,110.00
2,12,136.00
2,13,111.00
2,14,120.00
2,15,115.00
2,16,92.00
2,17,66.00
2,18,151.00
2,19,145.00
2,20,nan
2,21,nan
2,22,nan
2,23,nan
2,24,nan
2,25,nan
2,26,nan
2,27,nan
2,28,nan
2,29,nan
2,30,nan
2,31,nan
2,32,nan
2,33,nan
2,34,nan
2,35,nan
2,36,nan
2,37,nan
2,38,nan
2,39,nan
3,0,166.00
3,1,189.00
3,2,191.00
3,3,183.00
3,4,133.00
3,5,172.00
3,6,171.00
3,7,144.00
3,8,122.00
3,9,129.00
3,10,112.00
3,11,80.00
3,12,106.00
3,13,119.00
3,14,102.00
3,15,110.00
3,16,100.00
3,17,100.00
3,18,116.00
3,19,131.00
3,20,nan
3,21,nan
3,22,nan
3,23,nan
3,24,nan
3,25,nan
3,26,nan
3,27,nan
3,28,nan
3,29,nan
3,30,nan
3,31,nan
3,32,nan
3,33,nan
3,34,nan
3,35,nan
3,36,nan
3,37,nan
3,38,nan
3,39,nan
4,0,134.00
4,1,159.00
4,2,176.00
4,3,161.00
4,4,141.00
4,5,151.00
4,6,137.00
4,7,146.00
4,8,113.00
4,9,120.00
4,10,112.00
4,11,95.00
4,12,140.00
4,13,98.00
4,14,115.00
4,15,113.00
4,16,118.00
4,17,118.00
4,18,97.00
4,19,128.00
4,20,nan
4,21,nan
4,22,nan
4,23,nan
4,24,nan
4,25,nan
4,26,nan
4,27,nan
4,28,nan
4,29,nan
4,30,nan
4,31,nan
4,32,nan
4,33,nan
4,34,nan
4,35,nan
4,36,nan
4,37,nan
4,38,nan
4,39,nan
5,0,123.00
5,1,139.00
5,2,176.00
5,3,177.00
5,4,151.00
5,5,121.00
5,6,153.00
5,7,110.00
5,8,98.00
5,9,80.00
5,10,118.00
5,11,93.00
5,12,98.00
5,13,124.00
5,14,128.00
5,15,119.00
5,16,130.00
5,17,94.00
5,18,142.00
5,19,92.00
5,20,nan
5,21,nan
5,22,nan
5,23,nan
5,24,nan
5,25,nan
5,26,nan
5,27,nan
5,28,nan
5,29,nan
5,30,nan
5,31,nan
5,32,nan
5,33,nan
5,34,nan
5,35,nan
5,36,nan
5,37,nan
5,38,nan
5,39,nan
6,0,127.00
6,1,161.00
6,2,156.00
6,3,177.00
6,4,157.00
6,5,150.00
6,6,96.00
6,7,101.00
6,8,92.00
6,9,85.00
6,10,101.00
6,11,86.00
6,12,144.00
6,13,131.00
6,14,101.00
6,15,105.00
6,16,109.00
6,17,110.00
6,18,111.00
6,19,80.00
6,20,nan
6,21,nan
6,22,nan
6,23,nan
6,24,nan
6,25,nan
6,26,nan
6,27,nan
6,28,nan
6,29,nan
6,30,nan
6,31,nan
6,32,nan
6,33,nan
6,34,nan
6,35,nan
6,36,nan
6,37,nan
6,38,nan
6,39,nan
7,0,149.00
7,1,170.00
7,2,166.00
7,3,162.00
7,4,167.00
7,5,112.00
7,6,138.00
7,7,104.00
7,8,77.00
7,9,94.00
7,10,105.00
7,11,90.00
7,12,119.00
7,13,108.00
7,14,113.00
7,15,95.00
7,16,118.00
7,17,103.00
7,18,95.00
7,19,88.00
7,20,nan
7,21,nan
7,22,nan
7,23,nan
7,24,nan
7,25,nan
7,26,nan
7,27,nan
7,28,nan
7,29,nan
7,30,nan
7,31,nan
7,32,nan
